match_id,match_date,team_name,opp_name,stage,t_win_rate,t_draw_rate,t_avg_goals_for,t_avg_goals_against,t_avg_goal_diff,t_knockout_win_rate,t_matches_played,o_win_rate,o_draw_rate,o_avg_goals_for,o_avg_goals_against,o_avg_goal_diff,o_knockout_win_rate,o_matches_played,win_rate_diff,goal_diff_diff,attack_vs_defense,experience_diff,is_knockout,result,goals_for,goals_against,result_encoded
M-1930-01,1930-07-13,France,Mexico,group stage,0.5,0.2,1.5,1.5,0.0,0.5,0,0.5,0.2,1.5,1.5,0.0,0.5,0,0.0,0.0,0.0,0,0,win,4,1,2
M-1930-02,1930-07-13,United States,Belgium,group stage,0.5,0.2,1.5,1.5,0.0,0.5,0,0.5,0.2,1.5,1.5,0.0,0.5,0,0.0,0.0,0.0,0,0,win,3,0,2
M-1930-03,1930-07-14,Yugoslavia,Brazil,group stage,0.5,0.2,1.5,1.5,0.0,0.5,0,0.5,0.2,1.5,1.5,0.0,0.5,0,0.0,0.0,0.0,0,0,win,2,1,2
M-1930-04,1930-07-14,Romania,Peru,group stage,0.5,0.2,1.5,1.5,0.0,0.5,0,0.5,0.2,1.5,1.5,0.0,0.5,0,0.0,0.0,0.0,0,0,win,3,1,2
M-1930-05,1930-07-15,France,Argentina,group stage,1.0,0.0,4.0,1.0,3.0,0.5,1,0.5,0.2,1.5,1.5,0.0,0.5,0,0.5,3.0,2.5,1,0,lose,0,1,0
M-1930-06,1930-07-16,Chile,Mexico,group stage,0.5,0.2,1.5,1.5,0.0,0.5,0,0.0,0.0,1.0,4.0,-3.0,0.5,1,0.5,3.0,-2.5,-1,0,win,3,0,2
M-1930-07,1930-07-17,Yugoslavia,Bolivia,group stage,1.0,0.0,2.0,1.0,1.0,0.5,1,0.5,0.2,1.5,1.5,0.0,0.5,0,0.5,1.0,0.5,1,0,win,4,0,2
M-1930-08,1930-07-17,United States,Paraguay,group stage,1.0,0.0,3.0,0.0,3.0,0.5,1,0.5,0.2,1.5,1.5,0.0,0.5,0,0.5,3.0,1.5,1,0,win,3,0,2
M-1930-09,1930-07-18,Peru,Uruguay,group stage,0.0,0.0,1.0,3.0,-2.0,0.5,1,0.5,0.2,1.5,1.5,0.0,0.5,0,-0.5,-2.0,-0.5,1,0,lose,0,1,0
M-1930-11,1930-07-19,Argentina,Mexico,group stage,1.0,0.0,1.0,0.0,1.0,0.5,1,0.0,0.0,0.5,3.5,-3.0,0.5,2,1.0,4.0,-2.5,-1,0,win,6,3,2
M-1930-10,1930-07-19,Chile,France,group stage,1.0,0.0,3.0,0.0,3.0,0.5,1,0.5,0.0,2.0,1.0,1.0,0.5,2,0.5,2.0,2.0,-1,0,win,1,0,2
M-1930-12,1930-07-20,Brazil,Bolivia,group stage,0.0,0.0,1.0,2.0,-1.0,0.5,1,0.0,0.0,0.0,4.0,-4.0,0.5,1,0.0,3.0,-3.0,0,0,win,4,0,2
M-1930-13,1930-07-20,Paraguay,Belgium,group stage,0.0,0.0,0.0,3.0,-3.0,0.5,1,0.0,0.0,0.0,3.0,-3.0,0.5,1,0.0,0.0,-3.0,0,0,win,1,0,2
M-1930-14,1930-07-21,Uruguay,Romania,group stage,1.0,0.0,1.0,0.0,1.0,0.5,1,1.0,0.0,3.0,1.0,2.0,0.5,1,0.0,-1.0,0.0,0,0,win,4,0,2
M-1930-15,1930-07-22,Argentina,Chile,group stage,1.0,0.0,3.5,1.5,2.0,0.5,2,1.0,0.0,2.0,0.0,2.0,0.5,2,0.0,0.0,3.5,0,0,win,3,1,2
M-1930-16,1930-07-26,United States,Argentina,semi-finals,1.0,0.0,3.0,0.0,3.0,0.5,2,1.0,0.0,3.3333333333333335,1.3333333333333333,2.0,0.5,3,0.0,1.0,1.6666666666666667,-1,1,lose,1,6,0
M-1930-17,1930-07-27,Uruguay,Yugoslavia,semi-finals,1.0,0.0,2.5,0.0,2.5,0.5,2,1.0,0.0,3.0,0.5,2.5,0.5,2,0.0,0.0,2.0,0,1,win,6,1,2
M-1930-18,1930-07-30,Uruguay,Argentina,final,1.0,0.0,3.6666666666666665,0.3333333333333333,3.3333333333333335,1.0,3,1.0,0.0,4.0,1.25,2.75,1.0,4,0.0,0.5833333333333335,2.4166666666666665,-1,1,win,4,2,2
M-1934-05,1934-05-27,United States,Italy,round of 16,0.6666666666666666,0.0,2.3333333333333335,2.0,0.3333333333333333,0.0,3,0.5,0.2,1.5,1.5,0.0,0.5,0,0.16666666666666663,0.3333333333333333,0.8333333333333335,3,1,lose,1,7,0
M-1934-08,1934-05-27,Netherlands,Switzerland,round of 16,0.5,0.2,1.5,1.5,0.0,0.5,0,0.5,0.2,1.5,1.5,0.0,0.5,0,0.0,0.0,0.0,0,1,lose,2,3,0
M-1934-07,1934-05-27,Argentina,Sweden,round of 16,0.8,0.0,3.6,1.8,1.8,0.5,5,0.5,0.2,1.5,1.5,0.0,0.5,0,0.30000000000000004,1.8,2.1,5,1,lose,2,3,0
M-1934-06,1934-05-27,Brazil,Spain,round of 16,0.5,0.0,2.5,1.0,1.5,0.5,2,0.5,0.2,1.5,1.5,0.0,0.5,0,0.0,1.5,1.0,2,1,lose,1,3,0
M-1934-02,1934-05-27,Czechoslovakia,Romania,round of 16,0.5,0.2,1.5,1.5,0.0,0.5,0,0.5,0.0,1.5,2.5,-1.0,0.5,2,0.0,1.0,-1.0,-2,1,win,2,1,2
M-1934-04,1934-05-27,Hungary,Egypt,round of 16,0.5,0.2,1.5,1.5,0.0,0.5,0,0.5,0.2,1.5,1.5,0.0,0.5,0,0.0,0.0,0.0,0,1,win,4,2,2
M-1934-03,1934-05-27,Belgium,Germany,round of 16,0.0,0.0,0.0,2.0,-2.0,0.5,2,0.5,0.2,1.5,1.5,0.0,0.5,0,-0.5,-2.0,-1.5,2,1,lose,2,5,0
M-1934-01,1934-05-27,France,Austria,round of 16,0.3333333333333333,0.0,1.3333333333333333,1.0,0.3333333333333333,0.5,3,0.5,0.2,1.5,1.5,0.0,0.5,0,-0.16666666666666669,0.3333333333333333,-0.16666666666666674,3,1,lose,2,3,0
M-1934-09,1934-05-31,Austria,Hungary,quarter-finals,1.0,0.0,3.0,2.0,1.0,1.0,1,1.0,0.0,4.0,2.0,2.0,1.0,1,0.0,-1.0,1.0,0,1,win,2,1,2
M-1934-10,1934-05-31,Czechoslovakia,Switzerland,quarter-finals,1.0,0.0,2.0,1.0,1.0,1.0,1,1.0,0.0,3.0,2.0,1.0,1.0,1,0.0,0.0,0.0,0,1,win,3,2,2
M-1934-11,1934-05-31,Germany,Sweden,quarter-finals,1.0,0.0,5.0,2.0,3.0,1.0,1,1.0,0.0,3.0,2.0,1.0,1.0,1,0.0,2.0,3.0,0,1,win,2,1,2
M-1934-12,1934-05-31,Italy,Spain,quarter-finals,1.0,0.0,7.0,1.0,6.0,1.0,1,1.0,0.0,3.0,1.0,2.0,1.0,1,0.0,4.0,6.0,0,1,draw,1,1,1
M-1934-13,1934-06-01,Spain,Italy,quarter-finals,0.5,0.5,2.0,1.0,1.0,0.5,2,0.5,0.5,4.0,1.0,3.0,0.5,2,0.0,-2.0,1.0,0,1,lose,0,1,0
M-1934-14,1934-06-03,Czechoslovakia,Germany,semi-finals,1.0,0.0,2.5,1.5,1.0,1.0,2,1.0,0.0,3.5,1.5,2.0,1.0,2,0.0,-1.0,1.0,0,1,win,3,1,2
M-1934-15,1934-06-03,Italy,Austria,semi-finals,0.6666666666666666,0.3333333333333333,3.0,0.6666666666666666,2.3333333333333335,0.6666666666666666,3,1.0,0.0,2.5,1.5,1.0,1.0,2,-0.33333333333333337,1.3333333333333335,1.5,1,1,win,1,0,2
M-1934-16,1934-06-07,Germany,Austria,third-place match,0.6666666666666666,0.0,2.6666666666666665,2.0,0.6666666666666666,0.6666666666666666,3,0.6666666666666666,0.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.6666666666666666,3,0.0,0.3333333333333333,1.3333333333333333,0,1,win,3,2,2
M-1934-17,1934-06-10,Czechoslovakia,Italy,final,1.0,0.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.0,3,0.75,0.25,2.5,0.5,2.0,0.75,4,0.25,-0.6666666666666667,2.1666666666666665,-1,1,lose,1,2,0
M-1938-01,1938-06-04,Switzerland,Germany,round of 16,0.5,0.0,2.5,2.5,0.0,0.5,2,0.75,0.0,2.75,2.0,0.75,0.75,4,-0.25,-0.75,0.5,-2,1,draw,1,1,1
M-1938-06,1938-06-05,Brazil,Poland,round of 16,0.3333333333333333,0.0,2.0,1.6666666666666667,0.3333333333333333,0.0,3,0.5,0.2,1.5,1.5,0.0,0.5,0,-0.16666666666666669,0.3333333333333333,0.5,3,1,win,6,5,2
M-1938-05,1938-06-05,Norway,Italy,round of 16,0.5,0.2,1.5,1.5,0.0,0.5,0,0.8,0.2,2.4,0.6,1.8,0.8,5,-0.30000000000000004,-1.8,0.9,-5,1,lose,1,2,0
M-1938-07,1938-06-05,Netherlands,Czechoslovakia,round of 16,0.0,0.0,2.0,3.0,-1.0,0.0,1,0.75,0.0,2.25,1.5,0.75,0.75,4,-0.75,-1.75,0.5,-3,1,lose,0,3,0
M-1938-04,1938-06-05,Hungary,Dutch East Indies,round of 16,0.5,0.0,2.5,2.0,0.5,0.5,2,0.5,0.2,1.5,1.5,0.0,0.5,0,0.0,0.5,1.0,2,1,win,6,0,2
M-1938-03,1938-06-05,Belgium,France,round of 16,0.0,0.0,0.6666666666666666,3.0,-2.3333333333333335,0.0,3,0.25,0.0,1.5,1.5,0.0,0.0,4,-0.25,-2.3333333333333335,-0.8333333333333334,-1,1,lose,1,3,0
M-1938-02,1938-06-05,Romania,Cuba,round of 16,0.3333333333333333,0.0,1.3333333333333333,2.3333333333333335,-1.0,0.0,3,0.5,0.2,1.5,1.5,0.0,0.5,0,-0.16666666666666669,-1.0,-0.16666666666666674,3,1,draw,3,3,1
M-1938-08,1938-06-09,Cuba,Romania,round of 16,0.0,1.0,3.0,3.0,0.0,0.0,1,0.25,0.25,1.75,2.5,-0.75,0.0,4,-0.25,0.75,0.5,-3,1,win,2,1,2
M-1938-09,1938-06-09,Switzerland,Germany,round of 16,0.3333333333333333,0.3333333333333333,2.0,2.0,0.0,0.3333333333333333,3,0.6,0.2,2.4,1.8,0.6,0.6,5,-0.26666666666666666,-0.6,0.19999999999999996,-2,1,win,4,2,2
M-1938-13,1938-06-12,Sweden,Cuba,quarter-finals,0.5,0.0,2.0,2.0,0.0,0.5,2,0.5,0.5,2.5,2.0,0.5,0.5,2,0.0,-0.5,0.0,0,1,win,8,0,2
M-1938-12,1938-06-12,Italy,France,quarter-finals,0.8333333333333334,0.16666666666666666,2.3333333333333335,0.6666666666666666,1.6666666666666667,0.8333333333333334,6,0.4,0.0,1.8,1.4,0.4,0.5,5,0.43333333333333335,1.2666666666666666,0.9333333333333336,1,1,win,3,1,2
M-1938-11,1938-06-12,Hungary,Switzerland,quarter-finals,0.6666666666666666,0.0,3.6666666666666665,1.3333333333333333,2.3333333333333335,0.6666666666666666,3,0.5,0.25,2.5,2.0,0.5,0.5,4,0.16666666666666663,1.8333333333333335,1.6666666666666665,-1,1,win,2,0,2
M-1938-10,1938-06-12,Czechoslovakia,Brazil,quarter-finals,0.8,0.0,2.4,1.2,1.2,0.8,5,0.5,0.0,3.0,2.5,0.5,0.5,4,0.30000000000000004,0.7,-0.10000000000000009,1,1,draw,1,1,1
M-1938-14,1938-06-14,Brazil,Czechoslovakia,quarter-finals,0.4,0.2,2.6,2.2,0.4,0.3333333333333333,5,0.6666666666666666,0.16666666666666666,2.1666666666666665,1.1666666666666667,1.0,0.6666666666666666,6,-0.2666666666666666,-0.6,1.4333333333333333,-1,1,win,2,1,2
M-1938-15,1938-06-16,Hungary,Sweden,semi-finals,0.75,0.0,3.25,1.0,2.25,0.75,4,0.6666666666666666,0.0,4.0,1.3333333333333333,2.6666666666666665,0.6666666666666666,3,0.08333333333333337,-0.4166666666666665,1.9166666666666667,1,1,win,5,1,2
M-1938-16,1938-06-16,Italy,Brazil,semi-finals,0.8571428571428571,0.14285714285714285,2.4285714285714284,0.7142857142857143,1.7142857142857142,0.8571428571428571,7,0.5,0.16666666666666666,2.5,2.0,0.5,0.5,6,0.3571428571428571,1.2142857142857142,0.4285714285714284,1,1,win,2,1,2
M-1938-17,1938-06-19,Brazil,Sweden,third-place match,0.42857142857142855,0.14285714285714285,2.2857142857142856,2.0,0.2857142857142857,0.4,7,0.5,0.0,3.25,2.25,1.0,0.5,4,-0.07142857142857145,-0.7142857142857143,0.03571428571428559,3,1,win,4,2,2
M-1938-18,1938-06-19,Italy,Hungary,final,0.875,0.125,2.375,0.75,1.625,0.875,8,0.8,0.0,3.6,1.0,2.6,0.8,5,0.07499999999999996,-0.9750000000000001,1.375,3,1,win,4,2,2
M-1950-01,1950-06-24,Brazil,Mexico,group stage,0.5,0.125,2.5,2.0,0.5,0.5,8,0.0,0.0,1.3333333333333333,4.333333333333333,-3.0,0.5,3,0.5,3.5,-1.833333333333333,5,0,win,4,0,2
M-1950-05,1950-06-25,Italy,Sweden,group stage,0.8888888888888888,0.1111111111111111,2.5555555555555554,0.8888888888888888,1.6666666666666667,0.8888888888888888,9,0.4,0.0,3.0,2.6,0.4,0.4,5,0.4888888888888888,1.2666666666666666,-0.04444444444444473,4,0,lose,2,3,0
M-1950-04,1950-06-25,United States,Spain,group stage,0.5,0.0,2.0,3.25,-1.25,0.0,4,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,3,0.16666666666666669,-1.5833333333333333,1.0,1,0,lose,1,3,0
M-1950-03,1950-06-25,England,Chile,group stage,0.5,0.2,1.5,1.5,0.0,0.5,0,0.6666666666666666,0.0,1.6666666666666667,1.0,0.6666666666666666,0.5,3,-0.16666666666666663,-0.6666666666666666,0.5,-3,0,win,2,0,2
M-1950-02,1950-06-25,Switzerland,Yugoslavia,group stage,0.4,0.2,2.0,2.0,0.0,0.4,5,0.6666666666666666,0.0,2.3333333333333335,2.3333333333333335,0.0,0.0,3,-0.2666666666666666,0.0,-0.3333333333333335,2,0,lose,0,3,0
M-1950-06,1950-06-28,Brazil,Switzerland,group stage,0.5555555555555556,0.1111111111111111,2.6666666666666665,1.7777777777777777,0.8888888888888888,0.5,9,0.3333333333333333,0.16666666666666666,1.6666666666666667,2.1666666666666665,-0.5,0.4,6,0.22222222222222227,1.3888888888888888,0.5,3,0,draw,2,2,1
M-1950-07,1950-06-28,Yugoslavia,Mexico,group stage,0.75,0.0,2.5,1.75,0.75,0.0,4,0.0,0.0,1.0,4.25,-3.25,0.5,4,0.75,4.0,-1.75,0,0,win,4,1,2
M-1950-10,1950-06-29,Paraguay,Sweden,group stage,0.5,0.0,0.5,1.5,-1.0,0.5,2,0.5,0.0,3.0,2.5,0.5,0.4,6,0.0,-1.5,-2.0,-4,0,draw,2,2,1
M-1950-09,1950-06-29,England,United States,group stage,1.0,0.0,2.0,0.0,2.0,0.5,1,0.4,0.0,1.8,3.2,-1.4,0.0,5,0.6,3.4,-1.2000000000000002,-4,0,lose,0,1,0
M-1950-08,1950-06-29,Chile,Spain,group stage,0.5,0.0,1.25,1.25,0.0,0.5,4,0.5,0.25,1.75,1.0,0.75,0.3333333333333333,4,0.0,-0.75,0.25,0,0,lose,0,2,0
M-1950-11,1950-07-01,Brazil,Yugoslavia,group stage,0.5,0.2,2.6,1.8,0.8,0.5,10,0.8,0.0,2.8,1.6,1.2,0.0,5,-0.30000000000000004,-0.3999999999999999,1.0,5,0,win,2,0,2
M-1950-16,1950-07-02,Switzerland,Mexico,group stage,0.2857142857142857,0.2857142857142857,1.7142857142857142,2.142857142857143,-0.42857142857142855,0.4,7,0.0,0.0,1.0,4.2,-3.2,0.5,5,0.2857142857142857,2.771428571428572,-2.4857142857142858,2,0,win,2,1,2
M-1950-15,1950-07-02,Bolivia,Uruguay,group stage,0.0,0.0,0.0,4.0,-4.0,0.5,2,1.0,0.0,3.75,0.75,3.0,1.0,4,-1.0,-7.0,-0.75,-2,0,lose,0,8,0
M-1950-14,1950-07-02,Paraguay,Italy,group stage,0.3333333333333333,0.3333333333333333,1.0,1.6666666666666667,-0.6666666666666666,0.5,3,0.8,0.1,2.5,1.1,1.4,0.8888888888888888,10,-0.46666666666666673,-2.0666666666666664,-0.10000000000000009,-7,0,lose,0,2,0
M-1950-13,1950-07-02,Spain,England,group stage,0.6,0.2,1.8,0.8,1.0,0.3333333333333333,5,0.5,0.0,1.0,0.5,0.5,0.5,2,0.09999999999999998,0.5,1.3,3,0,win,1,0,2
M-1950-12,1950-07-02,United States,Chile,group stage,0.5,0.0,1.6666666666666667,2.6666666666666665,-1.0,0.0,6,0.4,0.0,1.0,1.4,-0.4,0.5,5,0.09999999999999998,-0.6,0.26666666666666683,1,0,lose,2,5,0
M-1950-17,1950-07-09,Brazil,Sweden,final round,0.6,0.2,2.7,1.6,1.1,0.5,10,0.42857142857142855,0.14285714285714285,2.857142857142857,2.4285714285714284,0.42857142857142855,0.4,7,0.17142857142857143,0.6714285714285715,0.2714285714285718,3,0,win,7,1,2
M-1950-18,1950-07-09,Uruguay,Spain,final round,1.0,0.0,4.6,0.6,4.0,1.0,5,0.6666666666666666,0.16666666666666666,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,6,0.33333333333333337,3.0,3.933333333333333,-1,0,draw,2,2,1
M-1950-19,1950-07-13,Brazil,Spain,final round,0.6,0.2,3.0,1.7,1.3,0.5,10,0.5714285714285714,0.2857142857142857,1.7142857142857142,0.8571428571428571,0.8571428571428571,0.3333333333333333,7,0.02857142857142858,0.44285714285714295,2.142857142857143,3,0,win,6,1,2
M-1950-20,1950-07-13,Uruguay,Sweden,final round,0.8333333333333334,0.16666666666666666,4.166666666666667,0.8333333333333334,3.3333333333333335,1.0,6,0.375,0.125,2.625,3.0,-0.375,0.4,8,0.45833333333333337,3.7083333333333335,1.166666666666667,-2,0,win,3,2,2
M-1950-22,1950-07-16,Uruguay,Brazil,final round,0.8571428571428571,0.14285714285714285,4.0,1.0,3.0,1.0,7,0.7,0.2,3.5,1.5,2.0,0.6,10,0.15714285714285714,1.0,2.5,-3,0,win,2,1,2
M-1950-21,1950-07-16,Sweden,Spain,final round,0.3333333333333333,0.1111111111111111,2.5555555555555554,3.0,-0.4444444444444444,0.4,9,0.5,0.25,1.625,1.5,0.125,0.3333333333333333,8,-0.16666666666666669,-0.5694444444444444,1.0555555555555554,1,0,win,3,1,2
M-1954-03,1954-06-16,Scotland,Austria,group stage,0.5,0.2,1.5,1.5,0.0,0.5,0,0.5,0.0,1.75,1.75,0.0,0.5,4,0.0,0.0,-0.25,-4,0,lose,0,1,0
M-1954-04,1954-06-16,Uruguay,Czechoslovakia,group stage,0.875,0.125,3.75,1.0,2.75,1.0,8,0.5714285714285714,0.14285714285714285,2.0,1.2857142857142858,0.7142857142857143,0.5714285714285714,7,0.3035714285714286,2.0357142857142856,2.4642857142857144,1,0,win,2,0,2
M-1954-02,1954-06-16,Yugoslavia,France,group stage,0.6666666666666666,0.0,2.3333333333333335,1.6666666666666667,0.6666666666666666,0.0,6,0.3333333333333333,0.0,1.6666666666666667,1.6666666666666667,0.0,0.3333333333333333,6,0.3333333333333333,0.6666666666666666,0.6666666666666667,0,0,win,1,0,2
M-1954-01,1954-06-16,Mexico,Brazil,group stage,0.0,0.0,1.0,3.8333333333333335,-2.8333333333333335,0.5,6,0.6,0.2,3.0,1.2,1.8,0.5,10,-0.6,-4.633333333333334,-0.19999999999999996,-4,0,lose,0,5,0
M-1954-08,1954-06-17,England,Belgium,group stage,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,3,0.0,0.0,0.75,3.0,-2.25,0.0,4,0.3333333333333333,2.25,-2.3333333333333335,-1,0,draw,4,4,1
M-1954-07,1954-06-17,Turkey,West Germany,group stage,0.5,0.2,1.5,1.5,0.0,0.5,0,0.5,0.2,1.5,1.5,0.0,0.5,0,0.0,0.0,0.0,0,0,lose,1,4,0
M-1954-06,1954-06-17,Hungary,South Korea,group stage,0.6666666666666666,0.0,3.3333333333333335,1.5,1.8333333333333333,0.6666666666666666,6,0.5,0.2,1.5,1.5,0.0,0.5,0,0.16666666666666663,1.8333333333333333,1.8333333333333335,6,0,win,9,0,2
M-1954-05,1954-06-17,Italy,Switzerland,group stage,0.8,0.1,2.0,1.0,1.0,0.875,10,0.375,0.25,1.75,2.0,-0.25,0.4,8,0.42500000000000004,1.25,0.0,2,0,lose,1,2,0
M-1954-09,1954-06-19,Uruguay,Scotland,group stage,0.8888888888888888,0.1111111111111111,3.5555555555555554,0.8888888888888888,2.6666666666666665,1.0,9,0.0,0.0,0.0,1.0,-1.0,0.5,1,0.8888888888888888,3.6666666666666665,2.5555555555555554,8,0,win,7,0,2
M-1954-10,1954-06-19,Brazil,Yugoslavia,group stage,0.7,0.1,3.4,1.1,2.3,0.6666666666666666,10,0.7142857142857143,0.0,2.142857142857143,1.4285714285714286,0.7142857142857143,0.0,7,-0.014285714285714346,1.5857142857142854,1.9714285714285713,3,0,draw,1,1,1
M-1954-11,1954-06-19,Austria,Czechoslovakia,group stage,0.6,0.0,1.6,1.4,0.2,0.5,5,0.5,0.125,1.75,1.375,0.375,0.5714285714285714,8,0.09999999999999998,-0.175,0.2250000000000001,-3,0,win,5,0,2
M-1954-12,1954-06-19,France,Mexico,group stage,0.2857142857142857,0.0,1.4285714285714286,1.5714285714285714,-0.14285714285714285,0.3333333333333333,7,0.0,0.0,0.8571428571428571,4.0,-3.142857142857143,0.5,7,0.2857142857142857,3.0,-2.571428571428571,0,0,win,3,2,2
M-1954-15,1954-06-20,Belgium,Italy,group stage,0.0,0.2,1.4,3.2,-1.8,0.0,5,0.8,0.0,2.0,1.1,0.9,1.0,10,-0.8,-2.7,0.2999999999999998,-5,0,lose,1,4,0
M-1954-16,1954-06-20,Switzerland,England,group stage,0.4444444444444444,0.2222222222222222,1.7777777777777777,1.8888888888888888,-0.1111111111111111,0.4,9,0.25,0.25,1.5,1.5,0.0,0.5,4,0.19444444444444442,-0.1111111111111111,0.2777777777777777,5,0,lose,0,2,0
M-1954-13,1954-06-20,Hungary,West Germany,group stage,0.7142857142857143,0.0,4.142857142857143,1.2857142857142858,2.857142857142857,0.6666666666666666,7,1.0,0.0,4.0,1.0,3.0,0.5,1,-0.2857142857142857,-0.1428571428571428,3.1428571428571432,6,0,win,8,3,2
M-1954-14,1954-06-20,Turkey,South Korea,group stage,0.0,0.0,1.0,4.0,-3.0,0.5,1,0.0,0.0,0.0,9.0,-9.0,0.5,1,0.0,6.0,-8.0,0,0,win,7,0,2
M-1954-17,1954-06-23,West Germany,Turkey,group stage,0.5,0.0,3.5,4.5,-1.0,0.5,2,0.5,0.0,4.0,2.0,2.0,0.5,2,0.0,-3.0,1.5,0,0,win,7,2,2
M-1954-18,1954-06-23,Switzerland,Italy,group stage,0.4,0.2,1.6,1.9,-0.3,0.4,10,0.8,0.0,2.3,1.2,1.1,1.0,10,-0.4,-1.4000000000000001,0.40000000000000013,0,0,win,4,1,2
M-1954-19,1954-06-26,Austria,Switzerland,quarter-finals,0.6666666666666666,0.0,2.1666666666666665,1.1666666666666667,1.0,0.5,6,0.4,0.2,1.7,1.8,-0.1,0.25,10,0.2666666666666666,1.1,0.3666666666666665,-4,1,win,7,5,2
M-1954-20,1954-06-26,Uruguay,England,quarter-finals,0.9,0.1,3.9,0.8,3.1,1.0,10,0.4,0.2,1.6,1.2,0.4,0.5,5,0.5,2.7,2.7,5,1,win,4,2,2
M-1954-22,1954-06-27,Yugoslavia,West Germany,quarter-finals,0.625,0.125,2.0,1.375,0.625,0.0,8,0.6666666666666666,0.0,4.666666666666667,3.6666666666666665,1.0,0.5,3,-0.04166666666666663,-0.375,-1.6666666666666665,5,1,lose,0,2,0
M-1954-21,1954-06-27,Hungary,Brazil,quarter-finals,0.75,0.0,4.625,1.5,3.125,0.6666666666666666,8,0.6,0.2,3.3,1.1,2.2,0.5,10,0.15000000000000002,0.9249999999999998,3.525,-2,1,win,4,2,2
M-1954-24,1954-06-30,West Germany,Austria,semi-finals,0.75,0.0,4.0,2.75,1.25,1.0,4,0.7142857142857143,0.0,2.857142857142857,1.7142857142857142,1.1428571428571428,0.6,7,0.0357142857142857,0.1071428571428572,2.2857142857142856,-3,1,win,6,1,2
M-1954-23,1954-06-30,Hungary,Uruguay,semi-finals,0.7777777777777778,0.0,4.555555555555555,1.5555555555555556,3.0,0.7142857142857143,9,0.9,0.1,4.2,1.0,3.2,1.0,10,-0.12222222222222223,-0.20000000000000018,3.5555555555555554,-1,1,win,4,2,2
M-1954-25,1954-07-03,Austria,Uruguay,third-place match,0.625,0.0,2.625,2.25,0.375,0.5,8,0.8,0.1,4.0,1.4,2.6,0.75,10,-0.17500000000000004,-2.225,1.225,-2,1,win,3,1,2
M-1954-26,1954-07-04,West Germany,Hungary,final,0.8,0.0,4.4,2.4,2.0,1.0,5,0.8,0.0,4.5,1.6,2.9,0.75,10,0.0,-0.8999999999999999,2.8000000000000003,-5,1,win,3,2,2
